"Name","Color (Hex Code)","Catalog Code"
"Cornsilk", #EFC810, 502
"Deep Arctic Sky", #0C082D, 505
"Nutmeg", #B26C29, 521
"Autumn Gold", #E79002, 523
"English Green", #34481E, 525
"Cobalt Blue", #113675, 526
"Forest Green", #111408, 538
"Lipstick", #E10000, 561
"Spice", #FFB435, 562
"Butterfly Gold", #F3A001, 567
"Cinnamon", #E66D00, 568
"Garden Green", #165F28, 569
"Deep Aqua", #088E6C, 571
"Blue Ribbon", #100A7C, 572
"Mint Julep", #35693D, 580
"Dusty Peach", #E9BD96, 619
"Sunset", #CD3900, 621
"Moss Green", #777113, 630
"Med. Aqua", #1C6F51, 640
"Arctic Sky", #262345, 643
"Bright White", #F9F9FF, 1001
"Soft White", #F9F9F4, 1002
"Black", #000000, 1005
"Steel Gray", #B7A9AC, 1011
"Med. Peach", #E1AF9A, 1015
"Pastel Coral", #EC968C, 1016
"Pastel Peach", #EFDFBD, 1017
"Peach", #ECA082, 1019
"Dark Peach", #F08278, 1020
"Maple", #EB6602, 1021
"Cream", #FFF7D5, 1022
"Yellow", #FFE669, 1023
"Goldenrod", #FFB800, 1024
"Mine Gold", #D78000, 1025
"Baby Blue", #BEC3E1, 1028
"Med. Blue", #A0C3EB, 1029
"Periwinkle", #A6A2C6, 1030
"Med. Orchid", #DFBEC8, 1031
"Med. Purple", #E68CEB, 1032
"Dk. Orchid", #D86496, 1033
"Burgundy", #C6323C, 1034
"Dk. Burgundy", #790000, 1035
"Lt.Red", #F90000, 1037
"True Red", #EB0000, 1039
"Med. Dk. Khaki", #877375, 1040
"Med. Dk. Gray", #8C7F83, 1041
"Bright Navy Blue", #321E50, 1042
"Dk. Navy", #190525, 1043
"Midnight Blue", #1D062F, 1044
"Lt. Teal", #C3EFBF, 1045
"Teal", #2E8359, 1046
"Mint Green", #A6C284, 1047
"Grass Green", #42A021, 1049
"Xmas Green", #1E6419, 1051
"Med. Dk. Ecru", #EEBEAE, 1054
"Tawny Tan", #EBBC80, 1055
"Med Tawny Tan", #AF5B00, 1056
"Dk Tawny Tan", #642702, 1057
"Tawny Brown", #663500, 1058
"Dk Tawny Brown", #530601, 1059
"Pale Yellow", #FFF7B9, 1061
"Pale Yellow-Green", #F0F8EC, 1063
"Pale Peach", #E6B4AA, 1064
"Orange Yellow", #FF9100, 1065
"Primrose", #FFF180, 1066
"Lemon Yellow", #FFFF85, 1067
"Pink Tint", #F3DBD9, 1068
"Gold", #F6CE69, 1070
"Off White", #F9F9EA, 1071
"Pale Powder Blue", #D6D5E8, 1074
"Royal Blue", #5A5A8B, 1076
"Jade Tint", #BECDC8, 1077
"Tangerine", #FF6600, 1078
"Emerald Green", #175523, 1079
"Orchid", #DC82A0, 1080
"Brick", #F06E78, 1081
"Ecru", #F7E3BB, 1082
"Spark Gold", #FFC100, 1083
"Silver", #E2CFC7, 1085
"Pale Sea Foam", #F9F9E0, 1086
"Deep Peacock", #16625F, 1090
"Med Turquoise", #26BFCA, 1094
"Turquoise", #10D1BD, 1095
"Dk Turquoise", #0F6978, 1096
"Lt Grass Green", #C2D37D, 1100
"True Green", #098531, 1101
"Dk Khaki", #02140F, 1103
"Pastel Yellow-Grn", #A5AF68, 1104
"Lt Mauve", #FAA4A4, 1108
"Hot Pink", #DC6496, 1109
"Pastel Orchid", #FCCBDF, 1111
"Royal Purple", #46016E, 1112
"Pastel Mauve", #F0C8B4, 1113
"Lt Pink", #F0B9B9, 1115
"Mauve", #F5A9A0, 1117
"Dk Mauve", #B46E75, 1119
"Pale Pink", #F0D6D2, 1120
"Pink", #FAB9CB, 1121
"Purple", #82288E, 1122
"Sun Yellow", #FFEC00, 1124
"Tan", #DC8C17, 1126
"Med Ecru", #FAECC6, 1127
"Dk Ecru", #C39471, 1128
"Brown", #6A1F06, 1129
"Dark Brown", #551602, 1130
"Cloister Brown", #490002, 1131
"Peacock Blue", #507DAA, 1134
"Pastel Yellow", #FFF072, 1135
"Yellow Orange", #FFBE00, 1137
"True Blue", #4A5870, 1143
"Powder Blue", #B4E1EB, 1145
"Xmas Red", #EB0000, 1147   /* TODO: duplicate case value */
"Lt Coral", #FFBDBD, 1148
"Deep Ecru", #E8C89C, 1149
"Powder Blue Tint", #E2E2EB, 1151
"Coral", #FA9999, 1154
"Lt Army Green", #636327, 1156
"Dk Maple", #BA4500, 1158
"Temple Gold", #D39D00, 1159
"Deep Teal", #10394A, 1162
"Lt Sky Blue", #DFE5EB, 1165
"Med Steel Gray", #8E7E7E, 1166
"Maize Yellow", #FFD226, 1167
"True Orange", #F5740A, 1168
"Bayberry Red", #9C0000, 1169
"Lt Brown", #975F2F, 1170
"Weathered Blue", #08180E, 1171
"Med Weathered Blue", #6E788C, 1172
"Med Army Green", #59591D, 1173
"Dk Pine Green", #0D2904, 1174
"Dk Avocado", #152D04, 1175
"Med Dk Avocado", #515308, 1176
"Avocado", #899812, 1177
"Dk Taupe", #8F623D, 1179
"Med Taupe", #A58973, 1180
"Rust", #CB0000, 1181
"Blue Black", #020114, 1182
"Black Cherry", #320614, 1183
"Orange Red", #FF6600, 1184 /* TODO: duplicate case value */
"Golden Yellow", #FCBE05, 1185
"Sable Brown", #5B0000, 1186
"Mimosa Yellow", #FFE500, 1187
"Red Geranium", #FF004B, 1188
"Dk Chestnut", #4B122D, 1189
"Med Burgundy", #A04656, 1190
"Dk Rose", #BD1E60, 1191
"Fuchsia", #D21E82, 1192
"Lavender", #E6AFD2, 1193
"Lt Purple", #D274D7, 1194
"Dk Purple", #370150, 1195
"Blue", #96C3E1, 1196
"Med Navy", #220F34, 1197
"Dusty Navy", #3C5075, 1198
"Admiral Navy Blue", #2A143F, 1199
"Med Dk Navy", #140B2D, 1200
"Med Powder Blue", #648BBE, 1201
"Deep Turquoise", #182B56, 1202
"Lt Weathered Blue", #AEB8C3, 1203
"Pastel Jade", #A8C8BC, 1204
"Med Jade", #6E90A5, 1205
"Dark Jade", #1E6E6F, 1206
"Sea Foam Green", #80A388, 1207
"Mallard Green", #0C3D03, 1208
"Lt Avocado", #BDD163, 1209
"Dk Army Green", #273B00, 1210
"Lt Khaki", #95A490, 1211
"Khaki", #63632D, 1212
"Taupe", #B9A096, 1213
"Med Chestnut", #642828, 1214
"Blackberry", #500A1E, 1215
"Med Maple", #AC1C01, 1216
"Chestnut", #971F01, 1217
"Silver Gray", #DFDFCB, 1218
"Gray", #98888C, 1219
"Charcoal Gray", #765960, 1220
"Lt Baby Blue", #D1DBFF, 1222
"Baby Blue Tint", #DCE0F1, 1223
"Bright Pink", #F0A0B9, 1224
"Pastel Pink", #FACBCB, 1225
"Dkl Periwinkle", #57369E, 1226
"Gold Green", #AF8901, 1227
"Drab Green", #96AA8B, 1228
"Lt Putty", #E0DBDB, 1229
"Dk Teal", #0B4133, 1230
"Med Rose", #E5326A, 1231
"Classic Green", #193207, 1232
"Ocean Teal", #0D2210, 1233
"Almost Black", #3C1B1F, 1234
"Deep Purple", #783298, 1235
"Lt Silver", #EAE4E4, 1236
"Deep Mauve", #BC3D2C, 1237
"Orange Sunrise", #FF8300, 1238
"Apricot", #FFAB57, 1239
"Smokey Grey", #74586C, 1240
"Nassau Blue", #543A8D, 1242
"Orange Flame", #FF0000, 1246
"Mahogany", #660000, 1247
"Med Pastel Blue", #D2E6F0, 1248
"Cornflower Blue", #62AADC, 1249
"Duck Wing Blue", #275C70, 1250
