"#CSV Embroidery File"
"#Created in Embird 2022 Build 10.66 (32-bit) on 19.02.2022 at 10:10:50
"#© 1997-2022 BALARAD, s.r.o.
"#https://www.embird.net
"#embird@embird.net
"#Notes: Can be read by Excel as CSV (Comma Separated Value) or text editor."
"#Lines beginning with # are comments."
"#Lines beginning with > are variables: >VARIABLE, VALUE"
"#Lines beginning with $ are colors: $Number, RED, GREEN, BLUE, Description, Catalog number"
"#Lines beginning with * are stitchlist entries: *STITCH, x, y, rel x, rel y, l, a, da"
"#  *STITCH means needle goes in, *JUMP means needle move only, *COLOR means stop for color change"
"#  x and y are absolute locations in mm; rel x, rel y are relative locations;"
"#  If absolute values are blank, relative values are used, otherwise relatives are ignored on read."
"#  (This is useful if editing by hand, move a piece of pattern by move first stitch and delete absolute values for the rest.)"
"#  l is stitch length, a is angle into node, da is angle out - angle in;"
"#  -999 means not-applicable.  These three parameters are ignored during read."
#
#>VAR_NAME,VAR_VALUE
">design_name","Embroidermodder "
">file_name","C:\users\rob\My Documents\embroidermodder\samples\Embroidermodder.csv"
">AX","+    0"
">AY","+    0"
">MX","+    0"
">MY","+    0"
">PD","******"
">Stitch_Count","3483"
">Color_Count","0"
">Extents","-111.300000,111.200000,-25.700000,25.700000"
#
#$COLOR,RED,GREEN,BLUE,DESCRIPTION,CATALOG_NUMBER
$0,0,0,255,"Purple","Brother Embroidery 614"
#
#*STITCH,XX,YY,DX,DY,LENGTH,ANGLE,dANGLE
*JUMP,-12.500000,-3.100000,-12.500000,-3.100000,12.878665,-999.000000,-999.000000
*JUMP,-25.000000,-6.200000,-12.500000,-3.100000,12.878665,-999.000000,-999.000000
*JUMP,-37.500000,-9.300000,-12.500000,-3.100000,12.878665,-999.000000,-999.000000
*JUMP,-50.000000,-12.400000,-12.500000,-3.100000,12.878665,-999.000000,-999.000000
*JUMP,-62.500000,-15.500000,-12.500000,-3.100000,12.878665,-999.000000,-999.000000
*JUMP,-75.000000,-18.700000,-12.500000,-3.200000,12.903101,-999.000000,-999.000000
*JUMP,-87.500000,-21.800000,-12.500000,-3.100000,12.878665,-999.000000,-999.000000
*JUMP,-99.400000,-24.800000,-11.900000,-3.000000,12.272327,-999.000000,-999.000000
*STITCH,-99.400000,-24.800000,0.000000,0.000000,0.000000,-999.000000,-999.000000
*STITCH,-99.800000,-25.300000,-0.400000,-0.500000,0.640312,-128.659805,166.949966
*STITCH,-97.900000,-23.800000,1.900000,1.500000,2.420744,38.290165,-7.326410
*STITCH,-96.900000,-23.200000,1.000000,0.600000,1.166190,30.963755,70.924904
*STITCH,-97.300000,-21.300000,-0.400000,1.900000,1.941649,101.888657,43.416183
*STITCH,-98.600000,-20.400000,-1.300000,0.900000,1.581139,145.304840,-46.774078
*STITCH,-98.900000,-18.400000,-0.300000,2.000000,2.022375,98.530762,41.663666
*STITCH,-100.100000,-17.400000,-1.200000,1.000000,1.562050,140.194427,-34.939308
*STITCH,-100.700000,-15.200000,-0.600000,2.200000,2.280351,105.255119,39.527290
*STITCH,-102.400000,-14.000000,-1.700000,1.200000,2.080865,144.782410,-39.527290
*STITCH,-103.000000,-11.800000,-0.600000,2.200000,2.280351,105.255119,37.874977
*STITCH,-105.400000,-10.000000,-2.400000,1.800000,3.000000,143.130096,-24.951515
*STITCH,-106.900000,-7.200000,-1.500000,2.800000,3.176476,118.178581,61.821419
*STITCH,-107.900000,-7.200000,-1.000000,0.000000,1.000000,180.000000,-145.713120
*STITCH,-105.700000,-5.700000,2.200000,1.500000,2.662705,34.286877,-9.842922
*STITCH,-104.600000,-5.200000,1.100000,0.500000,1.208305,24.443954,14.729702
*STITCH,-101.900000,-3.000000,2.700000,2.200000,3.482815,39.173656,-5.483585
*STITCH,-100.100000,-1.800000,1.800000,1.200000,2.163331,33.690071,-8.343895
*STITCH,-98.200000,-0.900000,1.900000,0.900000,2.102380,25.346176,71.778839
*STITCH,-98.300000,-0.100000,-0.100000,0.800000,0.806226,97.125015,-187.125015
*STITCH,-98.300000,-2.200000,0.000000,-2.100000,2.100000,-90.000000,191.888657
*STITCH,-98.700000,-0.300000,-0.400000,1.900000,1.941649,101.888657,-191.888657
*STITCH,-98.700000,-2.400000,0.000000,-2.100000,2.100000,-90.000000,195.524109
*STITCH,-99.200000,-0.600000,-0.500000,1.800000,1.868154,105.524117,-192.797791
*STITCH,-99.100000,-2.700000,0.100000,-2.100000,2.102380,-87.273682,192.017242
*STITCH,-99.600000,-0.800000,-0.500000,1.900000,1.964688,104.743561,-192.141052
*STITCH,-99.500000,-3.000000,0.100000,-2.200000,2.202271,-87.397491,190.789993
*STITCH,-100.000000,-0.900000,-0.500000,2.100000,2.158703,103.392502,-190.902969
*STITCH,-99.900000,-3.200000,0.100000,-2.300000,2.302173,-87.510468,192.765594
*STITCH,-100.500000,-1.000000,-0.600000,2.200000,2.280351,105.255119,-192.964462
*STITCH,-100.400000,-3.500000,0.100000,-2.500000,2.501999,-87.709343,190.513611
*STITCH,-100.900000,-1.300000,-0.500000,2.200000,2.256103,102.804268,-188.040619
*STITCH,-100.700000,-3.700000,0.200000,-2.400000,2.408319,-85.236359,190.491486
*STITCH,-101.300000,-1.500000,-0.600000,2.200000,2.280351,105.255119,-190.491486
