"CTRL", "N", "", "", "new-file"
"CTRL", "O", "", "", "open-file"
"CTRL", "S", "", "", "save-file"
"CTRL", "SHIFT", "S", "", "save-file-as"
"CTRL", "P", "", "", "print"
"CTRL", "D", "", "", "design-details"
"CTRL", "Q", "", "", "exit-program"
"CTRL", "X", "", "", "cut"
"CTRL", "C", "", "", "copy"
"CTRL", "V", "", "", "paste"
"CTRL", "Z", "", "", "undo"
"CTRL", "SHIFT", "Z", "", "redo"
"F1", "", "", "", "help"
"F2", "", "", "", "about"
"F11", "", "", "", "fullscreen"
"END","END","END","END","END"

