"Catalog Code","Name","Color"
"543","Medium Yellow U","#fce300"
"287","unknown","105C"
"544","unknown","108C"
"546","unknown","109C"
"522","unknown","122C"
"523","unknown","123C"
"502","unknown","124C"
"503","unknown","124C"
"562","unknown","125C"
"5205","unknown","127C"
"521","unknown","128C"
"501","unknown","129C"
"512","unknown","131C"
"532","unknown","136C"
"525","unknown","137C"
"533","unknown","137C"
"514","unknown","139C"
"564","unknown","140C"
"560","unknown","141C"
"711","unknown","144C"
"844","unknown","147C"
