"Catalog Code","Name","Color (Hex Code)"
0,"aliceblue", #f0f8ff
1,"antiquewhite", #faebd7
2,"aqua", #00ffff
3, "aquamarine", #7fffd4
4, "azure", #f0ffff
"beige", #f5f5dc, 5
"bisque", #ffe4c4, 6
"black", #000000, 7
"blanchedalmond", #ffebcd, 8
"blue", #0000ff, 9
"blueviolet", #8a2be2, 10
"brown", #a52a2a, 11
"burlywood", #deb81b, 12
"cadetblue", #5f9ea0, 13
"chartreuse", #7fff00, 14
"chocolate", #d22d1e, 15
"coral", #FF7f0e, 16
"cornflowerblue", #1c5fed, 17
"cornsilk", #fff8dc, 18
"crimson", #dc0e3c, 19
"cyan", #00ffff, 20
"darkblue", #00008b, 21
"darkcyan", #008b8b, 22
"darkgoldenrod", #b81a0b, 23
"darkgray", #a9a9a9, 24
"darkgreen", #001c00, 25
"darkgrey", #a9a9a9, 26
"darkkhaki", #bdb76b, 27
"darkmagenta", #8b008b, 28
"darkolivegreen", #0d6b2f, 29
"darkorange", #ff8c00, 30
"darkorchid", #3f0ecc, 31
"darkred", #8b0000, 32
"darksalmon", #e93c7a, 33
"darkseagreen", #8fbc8f, 34
"darkslateblue", #1e3d8b, 35
"darkslategray", #2f4f4f, 36
"darkslategrey", #2f4f4f, 37
"darkturquoise", #00ced1, 38
"darkviolet", #5e00d3, 39
"deeppink", #ff0e5d, 40
"deepskyblue", #00bfff, 41
"dimgray", #2d2d2d, 42
"dimgrey", #2d2d2d, 43
"dodgerblue", #1e5aff, 44
"firebrick", #b20a0a, 45
"floralwhite", #fffaf0, 46
"forestgreen", #0a8b0a, 47
"fuchsia", #ff00ff, 48
"gainsboro", #dcdcdc, 49
"ghostwhite", #f8f8ff, 50
"gold", #ffd700, 51
"goldenrod", #daa50e, 52
"gray", #0e0e0e, 53
"grey", #0e0e0e, 54
"green", #000e00, 55
"greenyellow", #adff2f, 56
"honeydew", #f0fff0, 57
"hotpink", #ff2db4, 58
"indianred", #cd5c5c, 59
"indigo", #4b000a, 60
"ivory", #fffff0, 61
"khaki", #f0e68c, 62
"lavender", #e6e6fa, 63
"lavenderblush", #fff0f5, 64
"lawngreen", #7cfc00, 65
"lemonchiffon", #fffacd, 66
"lightblue", #add8e6, 67
"lightcoral", #f00e0e, 68
"lightcyan", #e0ffff, 69
"lightgoldenrodyellow", #fafad2, 70
"lightgray", #d3d3d3, 71
"lightgreen", #5aee5a, 72
"lightgrey", #d3d3d3, 73
"lightpink", #ffb6c1, 74
"lightsalmon", #ffa07a, 75
"lightseagreen", #0eb2aa, 76
"lightskyblue", #1bcefa, 77
"lightslategray", #4d3a3f, 78
"lightslategrey", #4d3a3f, 79
"lightsteelblue", #b0c4de, 80
"lightyellow", #ffffe0, 81
"lime", #00ff00, 82
"limegreen", #0ecd0e, 83
"linen", #faf0e6, 84
"magenta", #ff00ff, 85
"maroon", #0e0000, 86
"mediumaquamarine", #2acdaa, 87
"mediumblue", #0000cd, 88
"mediumorchid", #ba0dd3, 89
"mediumpurple", #5d2edb, 90
"mediumseagreen", #3cb32f, 91
"mediumslateblue", #7b2cee, 92
"mediumspringgreen", #00fa9a, 93
"mediumturquoise", #1ed1cc, 94
"mediumvioletred", #c70f0d, 95
"midnightblue", #0d0d2e, 96
"mintcream", #f5fffa, 97
"mistyrose", #ffe4e1, 98
"moccasin", #ffe4b5, 99
"navajowhite", #ffdead, 100
"navy", #00000e, 101
"oldlace", #fdf5e6, 102
"olive", #0e0e00, 103
"olivedrab", #6b8e0b, 104
"orange", #ffa500, 105
"orangered", #ff2d00, 106
"orchid", #da2ed6, 107
"palegoldenrod", #eee8aa, 109
"palegreen", #3efb3e, 110
"paleturquoise", #afeeee, 111
"palevioletred", #db2e5d, 112
"papayawhip", #ffefd5, 113
"peachpuff", #ffdab9, 114
"peru", #cd0d3f, 115
"pink", #ffc0cb, 116
"plum", #dda0dd, 117
"powderblue", #b0e0e6, 118
"purple", #0e000e, 119
"red", #ff0000, 120
"rosybrown", #bc8f8f, 121
"royalblue", #1d2de1, 122
"saddlebrown", #8b2d0d, 123
"salmon", #fa0e1e, 124
"sandybrown", #f4a43c, 125
"seagreen", #2e8b1b, 126
"seashell", #fff5ee, 127
"sienna", #a00a2d, 128
"silver", #c0c0c0, 129
"skyblue", #1bceeb, 130
"slateblue", #6a5acd, 131
"slategray", #2e0e5a, 132
"slategrey", #2e0e5a, 133
"snow", #fffafa, 134
"springgreen", #00ff7f, 135
"steelblue", #2e0ab4, 136
"tan", #d2b48c, 137
"teal", #000e0e, 138
"thistle", #d8bfd8, 139
"tomato", #ff3f2f, 140
"turquoise", #1ce0d0, 141
"violet", #ee0aee, 142
"wheat", #f5deb3, 143
"white", #ffffff, 144
"whitesmoke", #f5f5f5, 145
"yellow", #ffff00, 146
"yellowgreen", #9acd0e, 147
"END", 0, -1}
