"Brand or Name","Extension","Read Support","Write Support","Documentation Quality","Testing"
"Toyota",".100","none","none","none","none"
"Toyota",".10o","basic","none","none","none"
"Bernina",".art","none","none","none","none"
"Bitmap Cache",".bmc","basic","none","none","none"
"Bits and Volts",".bro","basic","none","none","none"
"Melco",".cnd","none","none","doc-none  test-none"
"Embroidery Thread Color",".col","basic","basic","none","none"
"Singer",".csd","basic","none","none","none"
"Comma Separated Values",".csv","none","none","none","none"
"Barudan",".dat","none","none","none","none"
"Melco",".dem","none","none","none","none"
"Barudan",".dsb","basic","none","none","none"
"Tajima",".dst","basic","none","none","none"
"ZSK USA",".dsz","basic","none","none","none"
"Drawing Exchange Format",".dxf","none","none","none","none"
"Embird",".edr","none","none","none","none"
"Elna",".emd","none","none","none","none"
"Melco",".exp","basic","none","none","none"
"Eltac",".exy","basic","none","none","none"
"Sierra Expanded",".eys","none","none","none","none"
"Fortron",".fxy","basic","none","none","none"
"Smoothie G-Code",".gc","none","none","none","none"
"Great Notions",".gnc","none","none","none","none"
"Gold Thread",".gt","none","none","none","none"
"Husqvarna Viking",".hus","basic","none","none","none"
"Inbro",".inb","basic","none","none","none"
"Embroidery Color Format",".inf","none","none","none","none"
"Janome",".jef","basic","none","none","none"
"Pfaff",".ksm","basic","none","none","none"
"Pfaff",".max","none","none","none","none"
"Mitsubishi",".mit","none","none","none","none"
"Ameco",".new","none","none","none","none"
"Melco",".ofm","none","none","none","none"
"Pfaff",".pcd","none","none","none","none"
"Pfaff",".pcm","none","none","none","none"
"Pfaff",".pcq","none","none","none","none"
"Pfaff",".pcs","buggy","none","none","none"
"Brother",".pec","none","none","none","none"
"Brother",".pel","none","none","none","none"
"Brother",".pem","none","none","none","none"
"Brother",".pes","basic","none","none","none"
"Brother",".phb","none","none","none","none"
"Brother",".phc","none","none","none","none"
"AutoCAD",".plt","none","none","none","none"
"RGB",".rgb","none","none","none","none"
"Janome",".sew","basic","none","none","none"
"Husqvarna Viking",".shv","none","none","none","none"
"Sunstar",".sst","none","none","none","none"
"Data Stitch",".stx","none","none","none","none"
"Scalable Vector Graphics",".svg","none","basic","none","none"
"Pfaff",".t01","none","none","none","none"
"Pfaff",".t09","none","none","none","none"
"Happy",".tap","basic","none","none","none"
"ThredWorks",".thr","none","none","none","none"
"Text File",".txt","none","none","none","none"
"Barudan",".u00","none","none","none","none"
"Barudan",".u01","none","none","none","none"
"Pfaff","`.vip","basic","none","none","none"
"Pfaff","`.vp3","basic","none","none","none"
"Singer",".xxx","basic","none","none","none"
"ZSK USA",".zsk","basic","none","none","none"
