"Name", "Color (Hex Code)", "Catalog Code"
"?", 0xFFFFFF, 10
"?", 0xFFFFFF, 15
"?", 0xFFFFFF, 17
"?", 0x000000, 20
"?", 0xFFFDED, 101
"?", 0x7D7D7D, 104
"?", 0x515B61, 107
"?", 0x6D757B, 108
"?", 0xACACAC, 109
"?", 0x515B61, 111
"?", 0x5D5D5D, 112
"?", 0xCFCFCF, 124
"?", 0xA1A9B4, 131
"?", 0x6D757B, 141
"?", 0x9EA5AA, 142
"?", 0xCFD1D5, 145
"?", 0xC6BDB4, 150
"?", 0xD5C4B3, 151
"?", 0x7C8283, 152
"?", 0x898F94, 156
"?", 0xFEF5F0, 180
"?", 0xE9D7D9, 182
"?", 0xEBE3DD, 184
"?", 0xE0DA5F, 221
"?", 0xBFBA28, 232
"?", 0xECE9C1, 241
"?", 0xFAF6CC, 250
"?", 0xECE7A5, 251
"?", 0xECEADB, 260
"?", 0xF9F8E8, 270
"?", 0xFDF76C, 310
"?", 0xF5D300, 311
"?", 0x797E24, 345
"?", 0xB0AA76, 352
"?", 0x898F2B, 442
"?", 0x98996D, 453
"?", 0x6E772E, 454
"?", 0x6B7E6F, 463
"?", 0x3E4F34, 465
"?", 0xEDEF05, 501
"?", 0xFAF6CC, 505
"?", 0xF5D300, 506
"?", 0xFFFBD1, 510
"?", 0xFDE896, 520
"?", 0xD7CE8A, 532
"?", 0xB18B00, 542
"?", 0xAA8D00, 545
"?", 0xB28F11, 546
"?", 0xAC9436, 551
"?", 0xB69F56, 552
"?", 0xF4EE8C, 580
"?", 0xF1EB35, 590
"?", 0xF8D73E, 600
"?", 0xF8D73E, 605
"?", 0xF7CB47, 610
"?", 0xF7E400, 615
"?", 0xFDE896, 620
"?", 0xEEDB00, 625
"?", 0xFEF09A, 630
"?", 0xFDE1AF, 635
"?", 0xFDE896, 640
"?", 0xF5D2A6, 651
"?", 0xFEF9EA, 660
"?", 0xFAF6E7, 670
"?", 0xBEBEA8, 672
"?", 0xF7C35F, 700
"?", 0xF5CA00, 702
"?", 0xDFA200, 704
"?", 0xFCF538, 706
"?", 0xFADC59, 713
"?", 0x8C7E6A, 722
"?", 0x827000, 726
"?", 0x636254, 732
"?", 0x594900, 747
"?", 0xD6BF94, 761
"?", 0x656452, 776
"?", 0xF1AF00, 800
"?", 0xF3C200, 805
"?", 0xF5BA5D, 811
"?", 0xE1A23E, 821
"?", 0xCCAB3F, 822
"?", 0xDFA200, 824
"?", 0xF3B044, 830
"?", 0xD0A44F, 832
"?", 0xCD944A, 842
"?", 0xE3BC61, 851
"?", 0x947C4A, 853
"?", 0x001F48, 866
"?", 0xEBE7DD, 870
"?", 0x9FA086, 873
"?", 0x9A897B, 874
"?", 0xEE9C00, 900
"?", 0xF3B259, 904
"?", 0xCA832C, 922
"?", 0xC07314, 931
"?", 0xAC6613, 932
"?", 0x744808, 933
