"Catalog Code","Name","Color"
100, "?", 0xFFFFFF7D
101, "?", 0xFFFFFF36
102, "?", 0xFFFFFC0D
103, "?", 0xFFD1CB00
104, "?", 0xFFB3AD00
105, "?", 0xFF807C00
106, "?", 0xFFFFFA4F
"?", 0xFFFFF536, 107
"?", 0xFFFFF00D, 108
"?", 0xFFFFE600, 109
"?", 0xFFEDD100, 110
"?", 0xFFBAA600, 111
"?", 0xFF9E8E00, 112
"?", 0xFFFFED57, 113
"?", 0xFFFFEB45, 114
"?", 0xFFFFE833, 115
"?", 0xFFFFD600, 116
"?", 0xFFD9B200, 117
"?", 0xFFBA9900, 118
"?", 0xFF827200, 119
"?", 0xFFFFE86B, 120
"?", 0xFFFFF2B0, 1205
"?", 0xFFFFE34F, 121
"?", 0xFFFFE88C, 1215
"?", 0xFFFFD433, 122
"?", 0xFFFFD461, 1225
"?", 0xFFFFC20F, 123
"?", 0xFFFFB517, 1235
"?", 0xFFF0AD00, 124
"?", 0xFFD19700, 1245
"?", 0xFFBD8C00, 125
"?", 0xFFA87B00, 1255
"?", 0xFFA17800, 126
"?", 0xFF7D5B00, 1265
"?", 0xFFFFED80, 127
"?", 0xFFFFE359, 128
"?", 0xFFFFD63B, 129
"?", 0xFFFFB300, 130
"?", 0xFFE89E00, 131
"?", 0xFFB38100, 132
"?", 0xFF705A00, 133
"?", 0xFFFFE38C, 134
"?", 0xFFFFDB87, 1345
"?", 0xFFFFCF66, 135
"?", 0xFFFFCC70, 1355
"?", 0xFFFFBA3D, 136
"?", 0xFFFFB547, 1365
"?", 0xFFFFA61A, 137
"?", 0xFFFF991A, 1375
"?", 0xFFFC9200, 138
"?", 0xFFED8500, 1385
"?", 0xFFC47C00, 139
"?", 0xFFA15F00, 1395
"?", 0xFF755600, 140
"?", 0xFF5E3C00, 1405
"?", 0xFFFFCF7D, 141
"?", 0xFFFFB83D, 142
"?", 0xFFFFA626, 143
"?", 0xFFFF8500, 144
"?", 0xFFEB7C00, 145
"?", 0xFFAB6100, 146
"?", 0xFF705100, 147
"?", 0xFFFFD6A1, 148
"?", 0xFFFFBA75, 1485
"?", 0xFFFFC487, 149
"?", 0xFFFFAB54, 1495
"?", 0xFFFFA64D, 150
"?", 0xFFFF943B, 1505
"?", 0xFFFF850D, 151
"?", 0xFFFC7C00, 152
"?", 0xFFE66000, 1525
"?", 0xFFD17100, 153
"?", 0xFF9E4A00, 1535
"?", 0xFFA85B00, 154
"?", 0xFF472200, 1545
"?", 0xFFFFE0B8, 155
"?", 0xFFFFC7A8, 1555
"?", 0xFFFFC794, 156
"?", 0xFFFFA882, 1565
"?", 0xFFFF914D, 157
"?", 0xFFFF8C47, 1575
"?", 0xFFFF6308, 158
"?", 0xFFFF701A, 1585
"?", 0xFFED5100, 159
"?", 0xFFF26300, 1595
"?", 0xFFAD4200, 160
"?", 0xFFB34F00, 1605
"?", 0xFF5C2C00, 161
"?", 0xFF914000, 1615
"?", 0xFFFFD9C7, 162
"?", 0xFFFFB0A1, 1625
"?", 0xFFFFB08F, 163
"?", 0xFFFF9C85, 1635
"?", 0xFFFF8A45, 164
"?", 0xFFFF8257, 1645
"?", 0xFFFF690A, 165
"?", 0xFFFF5E17, 1655
"?", 0xFFFF5C00, 166
"?", 0xFFFF5200, 1665
"?", 0xFFD45500, 167
"?", 0xFFB83D00, 1675
"?", 0xFF692D00, 168
"?", 0xFF8F2E00, 1685
"?", 0xFFFFCCCC, 169
"?", 0xFFFF998F, 170
"?", 0xFFFF7852, 171
"?", 0xFFFF571F, 172
"?", 0xFFF54C00, 173
"?", 0xFFA33100, 174
"?", 0xFF662400, 175
"?", 0xFFFFBFD1, 176
"?", 0xFFFF9EC9, 1765
"?", 0xFFFFBAE0, 1767
"?", 0xFFFF8C99, 177
"?", 0xFFFF87B5, 1775
"?", 0xFFFF6BA3, 1777
"?", 0xFFFF6970, 178
"?", 0xFFFF5480, 1785
"?", 0xFFFF3D66, 1787
"?", 0xFFFF291F, 1788
"?", 0xFFFF3600, 179
"?", 0xFFFF0F00, 1795
"?", 0xFFF50002, 1797
"?", 0xFFE33000, 180
"?", 0xFFC41200, 1805
"?", 0xFFB80007, 1807
"?", 0xFF872300, 181
"?", 0xFF7D0C00, 1815
"?", 0xFF570900, 1817
"?", 0xFFFFBDE6, 182
"?", 0xFFFF8AC9, 183
"?", 0xFFFF5296, 184
"?", 0xFFFF173D, 185
"?", 0xFFF5002F, 186
"?", 0xFFCC002B, 187
"?", 0xFF800400, 188
