"#CSV Embroidery File"
"#Created in Embird 2022 Build 10.66 (32-bit) on 19.02.2022 at 10:09:10
"#© 1997-2022 BALARAD, s.r.o.
"#https://www.embird.net
"#embird@embird.net
"#Notes: Can be read by Excel as CSV (Comma Separated Value) or text editor."
"#Lines beginning with # are comments."
"#Lines beginning with > are variables: >VARIABLE, VALUE"
"#Lines beginning with $ are colors: $Number, RED, GREEN, BLUE, Description, Catalog number"
"#Lines beginning with * are stitchlist entries: *STITCH, x, y, rel x, rel y, l, a, da"
"#  *STITCH means needle goes in, *JUMP means needle move only, *COLOR means stop for color change"
"#  x and y are absolute locations in mm; rel x, rel y are relative locations;"
"#  If absolute values are blank, relative values are used, otherwise relatives are ignored on read."
"#  (This is useful if editing by hand, move a piece of pattern by move first stitch and delete absolute values for the rest.)"
"#  l is stitch length, a is angle into node, da is angle out - angle in;"
"#  -999 means not-applicable.  These three parameters are ignored during read."
#
#>VAR_NAME,VAR_VALUE
">design_name","geometric_object"
">file_name","C:\users\rob\My Documents\embroidermodder\samples\geometric_objects.csv"
">AX","+    0"
">AY","+    0"
">MX","+    0"
">MY","+    0"
">PD","******"
">Stitch_Count","8304"
">Color_Count","3"
">Extents","-41.100000,41.200000,-42.400000,42.400000"
#
#$COLOR,RED,GREEN,BLUE,DESCRIPTION,CATALOG_NUMBER
$0,0,0,200,"Purple","Brother Embroidery 614"
$1,255,243,128,"Cream Yellow","Brother Embroidery 812"
$2,255,0,255,"Lilac","Brother Embroidery 612"
$3,130,202,255,"Light Blue","Brother Embroidery 017"
#
#*STITCH,XX,YY,DX,DY,LENGTH,ANGLE,dANGLE
*JUMP,1.000000,6.300000,1.000000,6.300000,6.378872,-999.000000,-999.000000
*STITCH,1.000000,6.300000,0.000000,0.000000,0.000000,-999.000000,-999.000000
*STITCH,1.000000,8.800000,0.000000,2.500000,2.500000,90.000000,0.000000
*STITCH,1.000000,11.800000,0.000000,3.000000,3.000000,90.000000,-81.869896
*STITCH,2.400000,12.000000,1.400000,0.200000,1.414214,8.130102,74.744881
*STITCH,2.600000,13.600000,0.200000,1.600000,1.612452,82.874985,-6.911224
*STITCH,2.700000,14.000000,0.100000,0.400000,0.412311,75.963760,-19.653831
*STITCH,2.900000,14.300000,0.200000,0.300000,0.360555,56.309929,-22.619865
*STITCH,3.200000,14.500000,0.300000,0.200000,0.360555,33.690063,46.847610
*STITCH,3.400000,15.700000,0.200000,1.200000,1.216553,80.537674,-4.573914
*STITCH,3.500000,16.100000,0.100000,0.400000,0.412311,75.963760,-19.653831
*STITCH,3.700000,16.400000,0.200000,0.300000,0.360555,56.309929,-22.619865
*STITCH,4.000000,16.600000,0.300000,0.200000,0.360555,33.690063,46.005089
*STITCH,4.200000,17.700000,0.200000,1.100000,1.118034,79.695152,-23.385223
*STITCH,4.400000,18.000000,0.200000,0.300000,0.360555,56.309929,-11.309933
*STITCH,4.800000,18.400000,0.400000,0.400000,0.565685,44.999996,26.565052
*STITCH,5.000000,19.000000,0.200000,0.600000,0.632456,71.565048,-18.434948
