"#CSV Embroidery File"
"#Created in Embird 2022 Build 10.66 (32-bit) on 19.02.2022 at 10:33:16
"#© 1997-2022 BALARAD, s.r.o.
"#https://www.embird.net
"#embird@embird.net
"#Notes: Can be read by Excel as CSV (Comma Separated Value) or text editor."
"#Lines beginning with # are comments."
"#Lines beginning with > are variables: >VARIABLE, VALUE"
"#Lines beginning with $ are colors: $Number, RED, GREEN, BLUE, Description, Catalog number"
"#Lines beginning with * are stitchlist entries: *STITCH, x, y, rel x, rel y, l, a, da"
"#  *STITCH means needle goes in, *JUMP means needle move only, *COLOR means stop for color change"
"#  x and y are absolute locations in mm; rel x, rel y are relative locations;"
"#  If absolute values are blank, relative values are used, otherwise relatives are ignored on read."
"#  (This is useful if editing by hand, move a piece of pattern by move first stitch and delete absolute values for the rest.)"
"#  l is stitch length, a is angle into node, da is angle out - angle in;"
"#  -999 means not-applicable.  These three parameters are ignored during read."
#
#>VAR_NAME,VAR_VALUE
">design_name","Untitled        "
">file_name","C:\users\rob\My Documents\embroidermodder\samples\shamrockin.csv"
">AX","+    0"
">AY","+    0"
">MX","+    0"
">MY","+    0"
">PD","******"
">Stitch_Count","1480"
">Color_Count","0"
">Extents","-25.000000,24.900000,-24.700000,24.600000"
#
#$COLOR,RED,GREEN,BLUE,DESCRIPTION,CATALOG_NUMBER
$0,0,255,0,"Mint Green","Brother Embroidery 502"
#
#*STITCH,XX,YY,DX,DY,LENGTH,ANGLE,dANGLE
*JUMP,-3.600000,-9.300000,-3.600000,-9.300000,9.972462,-999.000000,-999.000000
*JUMP,-7.200000,-18.600000,-3.600000,-9.300000,9.972462,-999.000000,-999.000000
*STITCH,-7.200000,-18.600000,0.000000,0.000000,0.000000,-999.000000,-999.000000
*STITCH,-7.300000,-18.700000,-0.100000,-0.100000,0.141421,-135.000000,103.671303
*STITCH,-5.000000,-20.100000,2.300000,-1.400000,2.692582,-31.328695,170.964142
*STITCH,-7.000000,-18.400000,-2.000000,1.700000,2.624881,139.635452,-179.999985
*STITCH,-5.000000,-20.100000,2.000000,-1.700000,2.624881,-40.364536,173.816376
*STITCH,-6.800000,-18.200000,-1.800000,1.900000,2.617250,133.451843,-172.111649
*STITCH,-4.800000,-19.800000,2.000000,-1.600000,2.561250,-38.659805,175.207962
*STITCH,-6.700000,-18.000000,-1.900000,1.800000,2.617250,136.548157,-172.085831
*STITCH,-4.600000,-19.500000,2.100000,-1.500000,2.580698,-35.537674,172.085831
*STITCH,-6.500000,-17.700000,-1.900000,1.800000,2.617250,136.548157,-172.085831
*STITCH,-4.400000,-19.200000,2.100000,-1.500000,2.580698,-35.537674,175.173126
*STITCH,-6.400000,-17.500000,-2.000000,1.700000,2.624881,139.635452,-170.964142
*STITCH,-4.100000,-18.900000,2.300000,-1.400000,2.692582,-31.328695,174.024750
*STITCH,-6.200000,-17.300000,-2.100000,1.600000,2.640076,142.696060,-172.171951
*STITCH,-3.900000,-18.600000,2.300000,-1.300000,2.641969,-29.475889,173.938217
*STITCH,-6.000000,-17.100000,-2.100000,1.500000,2.580698,144.462326,-172.015137
*STITCH,-3.700000,-18.300000,2.300000,-1.200000,2.594224,-27.552813,175.081619
*STITCH,-5.900000,-16.900000,-2.200000,1.400000,2.607681,147.528809,-172.152374
*STITCH,-3.500000,-18.000000,2.400000,-1.100000,2.640076,-24.623566,173.294876
*STITCH,-5.800000,-16.600000,-2.300000,1.400000,2.692582,148.671310,-173.294876
*STITCH,-3.400000,-17.700000,2.400000,-1.100000,2.640076,-24.623566,175.147690
*STITCH,-5.700000,-16.400000,-2.300000,1.300000,2.641969,150.524124,-172.325531
*STITCH,-3.200000,-17.400000,2.500000,-1.000000,2.692582,-21.801411,175.236359
*STITCH,-5.600000,-16.200000,-2.400000,1.200000,2.683282,153.434952,-173.233826
*STITCH,-3.100000,-17.100000,2.500000,-0.900000,2.657066,-19.798878,172.246063
*STITCH,-5.400000,-15.900000,-2.300000,1.200000,2.594224,152.447189,-172.246063
*STITCH,-2.900000,-16.800000,2.500000,-0.900000,2.657066,-19.798878,175.175308
*STITCH,-5.300000,-15.700000,-2.400000,1.100000,2.640076,155.376434,-173.121109
*STITCH,-2.800000,-16.500000,2.500000,-0.800000,2.624881,-17.744671,175.943283
*STITCH,-5.300000,-15.500000,-2.500000,1.000000,2.692582,158.198608,-171.193222
*STITCH,-2.700000,-16.100000,2.600000,-0.600000,2.668333,-12.994617,173.195740
*STITCH,-5.200000,-15.200000,-2.500000,0.900000,2.657066,160.201126,-173.195740
*STITCH,-2.600000,-15.800000,2.600000,-0.600000,2.668333,-12.994617,175.249939
*STITCH,-5.100000,-15.000000,-2.500000,0.800000,2.624881,162.255325,-171.001495
*STITCH,-2.500000,-15.400000,2.600000,-0.400000,2.630589,-8.746162,173.103912
*STITCH,-5.000000,-14.700000,-2.500000,0.700000,2.596151,164.357758,-173.103912
*STITCH,-2.400000,-15.100000,2.600000,-0.400000,2.630589,-8.746162,175.250427
*STITCH,-4.900000,-14.500000,-2.500000,0.600000,2.570992,166.504257,-170.902969
*STITCH,-2.300000,-14.700000,2.600000,-0.200000,2.607681,-4.398705,175.652557
*STITCH,-4.900000,-14.300000,-2.600000,0.400000,2.630589,171.253845,-173.374939
*STITCH,-2.200000,-14.400000,2.700000,-0.100000,2.701851,-2.121096,175.780914
*STITCH,-4.900000,-14.100000,-2.700000,0.300000,2.716615,173.659821,-173.659821
*STITCH,-2.200000,-14.100000,2.700000,0.000000,2.700000,0.000000,173.418060
*STITCH,-4.800000,-13.800000,-2.600000,0.300000,2.617250,173.418060,-173.418060
*STITCH,-2.100000,-13.800000,2.700000,0.000000,2.700000,0.000000,175.763611
*STITCH,-4.800000,-13.600000,-2.700000,0.200000,2.707397,175.763611,-173.642487
*STITCH,-2.100000,-13.500000,2.700000,0.100000,2.701851,2.121128,175.588211
*STITCH,-4.600000,-13.400000,-2.500000,0.100000,2.501999,177.709335,-170.866547
*STITCH,-2.100000,-13.100000,2.500000,0.300000,2.517936,6.842791,173.157211
*STITCH,-4.500000,-13.100000,-2.400000,0.000000,2.400000,180.000000,-170.537674
*STITCH,-2.100000,-12.700000,2.400000,0.400000,2.433105,9.462333,-184.267883
*STITCH,-4.300000,-12.900000,-2.200000,-0.200000,2.209072,-174.805557,190.060684
*STITCH,-2.100000,-12.300000,2.200000,0.600000,2.280351,15.255121,-187.125015
*STITCH,-4.200000,-12.600000,-2.100000,-0.300000,2.121320,-171.869888,187.815292
*STITCH,-2.100000,-12.000000,2.100000,0.600000,2.184033,15.945399,-186.972778
*STITCH,-4.000000,-12.300000,-1.900000,-0.300000,1.923538,-171.027374,191.252228
*STITCH,-2.100000,-11.600000,1.900000,0.700000,2.024846,20.224861,-190.216888
*STITCH,-3.800000,-11.900000,-1.700000,-0.300000,1.726268,-169.992020,189.432053
*STITCH,-2.100000,-11.300000,1.700000,0.600000,1.802776,19.440029,-191.845383
*STITCH,-3.600000,-11.500000,-1.500000,-0.200000,1.513275,-172.405350,194.206757
*STITCH,-2.100000,-10.900000,1.500000,0.600000,1.615549,21.801413,-189.706650
*STITCH,-3.500000,-11.200000,-1.400000,-0.300000,1.431782,-167.905243,192.680389
*STITCH,-2.200000,-10.600000,1.300000,0.600000,1.431782,24.775145,-190.738907
*STITCH,-3.400000,-10.900000,-1.200000,-0.300000,1.236932,-165.963760,192.528809
*STITCH,-2.200000,-10.300000,1.200000,0.600000,1.341641,26.565050,-192.528809
*STITCH,-3.400000,-10.600000,-1.200000,-0.300000,1.236932,-165.963760,198.434952
*STITCH,-2.300000,-9.900000,1.100000,0.700000,1.303840,32.471191,-190.669785
*STITCH,-3.300000,-10.300000,-1.000000,-0.400000,1.077033,-158.198593,196.073578
*STITCH,-2.400000,-9.600000,0.900000,0.700000,1.140175,37.874985,-193.912506
*STITCH,-3.300000,-10.000000,-0.900000,-0.400000,0.984886,-156.037521,197.223450
*STITCH,-2.500000,-9.300000,0.800000,0.700000,1.063015,41.185928,-200.629883
*STITCH,-3.300000,-9.600000,-0.800000,-0.300000,0.854400,-159.443954,196.313843
*STITCH,-2.500000,-9.000000,0.800000,0.600000,1.000000,36.869896,-193.671295
*STITCH,-3.200000,-9.300000,-0.700000,-0.300000,0.761577,-156.801407,196.606979
*STITCH,-2.600000,-8.800000,0.600000,0.500000,0.781025,39.805573,-208.495651
*STITCH,-3.100000,-8.900000,-0.500000,-0.100000,0.509902,-168.690079,205.559967
*STITCH,-2.700000,-8.600000,0.400000,0.300000,0.500000,36.869896,143.130096
*STITCH,-3.100000,-8.600000,-0.400000,0.000000,0.400000,180.000000,-135.000000
*STITCH,-2.800000,-8.300000,0.300000,0.300000,0.424264,44.999996,135.000000
*STITCH,-3.000000,-8.300000,-0.200000,0.000000,0.200000,180.000000,-116.565048
*STITCH,-2.900000,-8.100000,0.100000,0.200000,0.223607,63.434952,53.130096
*STITCH,-3.000000,-7.900000,-0.100000,0.200000,0.223607,116.565048,-26.565048
*STITCH,-3.000000,-7.800000,0.000000,0.100000,0.100000,90.000000,-180.000000
*STITCH,-3.000000,-8.200000,0.000000,-0.400000,0.400000,-90.000000,243.434937
*STITCH,-3.200000,-8.100000,-0.200000,0.100000,0.223607,153.434937,-232.125000
*STITCH,-3.100000,-8.600000,0.100000,-0.500000,0.509902,-78.690071,225.000000
*STITCH,-3.400000,-8.400000,-0.300000,0.200000,0.360555,146.309937,-205.346191
*STITCH,-3.100000,-8.900000,0.300000,-0.500000,0.583095,-59.036247,220.601288
*STITCH,-3.700000,-8.700000,-0.600000,0.200000,0.632456,161.565048,-206.565048
*STITCH,-3.200000,-9.200000,0.500000,-0.500000,0.707107,-45.000000,216.869888
*STITCH,-3.900000,-9.100000,-0.700000,0.100000,0.707107,171.869888,-201.614761
*STITCH,-3.200000,-9.500000,0.700000,-0.400000,0.806226,-29.744879,203.404663
*STITCH,-4.100000,-9.400000,-0.900000,0.100000,0.905539,173.659790,-197.622284
*STITCH,-3.200000,-9.800000,0.900000,-0.400000,0.984886,-23.962490,194.500153
*STITCH,-4.400000,-9.600000,-1.200000,0.200000,1.216553,170.537659,-199.148117
*STITCH,-3.300000,-10.200000,1.100000,-0.600000,1.252996,-28.610458,195.615845
*STITCH,-4.600000,-9.900000,-1.300000,0.300000,1.334166,167.005386,-191.780533
*STITCH,-3.300000,-10.500000,1.300000,-0.600000,1.431782,-24.775141,194.155502
*STITCH,-4.900000,-10.200000,-1.600000,0.300000,1.627882,169.380356,-191.181763
*STITCH,-3.400000,-10.800000,1.500000,-0.600000,1.615549,-21.801409,188.560898
*STITCH,-5.100000,-10.400000,-1.700000,0.400000,1.746425,166.759491,-190.388870
*STITCH,-3.500000,-11.100000,1.600000,-0.700000,1.746425,-23.629379,188.885803
*STITCH,-5.400000,-10.600000,-1.900000,0.500000,1.964688,165.256424,-191.821472
*STITCH,-3.600000,-11.500000,1.800000,-0.900000,2.012461,-26.565052,187.274994
*STITCH,-5.600000,-10.800000,-2.000000,0.700000,2.118962,160.709946,-188.468491
*STITCH,-3.700000,-11.800000,1.900000,-1.000000,2.147091,-27.758539,186.904099
*STITCH,-5.800000,-11.000000,-2.100000,0.800000,2.247220,159.145554,-189.214142
*STITCH,-3.900000,-12.100000,1.900000,-1.100000,2.195450,-30.068583,186.870010
*STITCH,-6.000000,-11.200000,-2.100000,0.900000,2.284732,156.801422,-187.765182
*STITCH,-4.000000,-12.400000,2.000000,-1.200000,2.332381,-30.963758,186.519806
*STITCH,-6.200000,-11.400000,-2.200000,1.000000,2.416609,155.556046,-188.579910
*STITCH,-4.200000,-12.700000,2.000000,-1.300000,2.385372,-33.023865,187.463898
*STITCH,-6.500000,-11.600000,-2.300000,1.100000,2.549510,154.440033,-188.130096
*STITCH,-4.400000,-13.000000,2.100000,-1.400000,2.523886,-33.690067,186.137253
*STITCH,-6.700000,-11.800000,-2.300000,1.200000,2.594224,152.447189,-186.734070
*STITCH,-4.500000,-13.300000,2.200000,-1.500000,2.662705,-34.286877,185.843964
*STITCH,-6.900000,-12.000000,-2.400000,1.300000,2.729469,151.557083,-189.251328
*STITCH,-4.700000,-13.700000,2.200000,-1.700000,2.780288,-37.694241,186.730484
*STITCH,-7.200000,-12.200000,-2.500000,1.500000,2.915476,149.036240,-188.027237
*STITCH,-5.100000,-13.900000,2.100000,-1.700000,2.701851,-38.990993,184.166504
*STITCH,-7.400000,-12.300000,-2.300000,1.600000,2.801785,145.175507,-187.162720
*STITCH,-5.400000,-14.100000,2.000000,-1.800000,2.690725,-41.987217,184.292969
*STITCH,-7.600000,-12.400000,-2.200000,1.700000,2.780288,142.305756,-187.305756
*STITCH,-5.700000,-14.300000,1.900000,-1.900000,2.687006,-44.999996,184.398697
*STITCH,-7.800000,-12.500000,-2.100000,1.800000,2.765863,139.398697,-187.411484
*STITCH,-6.000000,-14.500000,1.800000,-2.000000,2.690725,-48.012787,186.025574
*STITCH,-8.000000,-12.700000,-2.000000,1.800000,2.690725,138.012787,-187.648254
*STITCH,-6.300000,-14.700000,1.700000,-2.000000,2.624881,-49.635464,184.635468
*STITCH,-8.200000,-12.800000,-1.900000,1.900000,2.687006,135.000000,-187.696045
*STITCH,-6.600000,-14.900000,1.600000,-2.100000,2.640076,-52.696053,184.683258
*STITCH,-8.400000,-12.900000,-1.800000,2.000000,2.690725,131.987213,-189.516022
*STITCH,-7.000000,-15.100000,1.400000,-2.200000,2.607681,-57.528812,184.832764
*STITCH,-8.600000,-13.000000,-1.600000,2.100000,2.640076,127.303947,-187.828064
*STITCH,-7.300000,-15.300000,1.300000,-2.300000,2.641969,-60.524109,184.810974
*STITCH,-8.800000,-13.100000,-1.500000,2.200000,2.662705,124.286873,-186.734070
*STITCH,-7.600000,-15.400000,1.200000,-2.300000,2.594224,-62.447189,184.918381
*STITCH,-9.000000,-13.200000,-1.400000,2.200000,2.607681,122.471191,-187.847626
*STITCH,-7.900000,-15.600000,1.100000,-2.400000,2.640076,-65.376442,184.852341
*STITCH,-9.200000,-13.300000,-1.300000,2.300000,2.641969,119.475899,-186.856033
*STITCH,-8.200000,-15.700000,1.000000,-2.400000,2.600000,-67.380135,186.856033
*STITCH,-9.500000,-13.400000,-1.300000,2.300000,2.641969,119.475899,-187.674500
*STITCH,-8.500000,-15.900000,1.000000,-2.500000,2.692582,-68.198593,184.763641
*STITCH,-9.700000,-13.500000,-1.200000,2.400000,2.683282,116.565048,-187.471558
*STITCH,-8.800000,-16.100000,0.900000,-2.600000,2.751363,-70.906502,184.655991
*STITCH,-9.900000,-13.600000,-1.100000,2.500000,2.731300,113.749489,-188.681000
*STITCH,-9.200000,-16.200000,0.700000,-2.600000,2.692582,-74.931519,184.730392
*STITCH,-10.100000,-13.700000,-0.900000,2.500000,2.657066,109.798874,-186.804260
*STITCH,-9.500000,-16.300000,0.600000,-2.600000,2.668333,-77.005379,186.804260
*STITCH,-10.400000,-13.800000,-0.900000,2.500000,2.657066,109.798874,-186.804260
