element,attribute
?xml,encoding;standalone;version;/
link,about;class;content;datatype;externalResourcesRequired;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;target;transform;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animate,about;accumulate;additive;attributeName;attributeType;begin;by;calcMode;class;content;datatype;dur;end;fill;from;id;keySplines;keyTimes;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;systemLanguage;to;typeof;values;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animate color,about;accumulate;additive;attributeName;attributeType;begin;by;calcMode;class;content;datatype;dur;end;fill;from;id;keySplines;keyTimes;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;systemLanguage;to;typeof;values;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animate motion,about;accumulate;additive;begin;by;calcMode;class;content;datatype;dur;end;fill;from;id;keyPoints;keySplines;keyTimes;max;min;origin;path;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;rotate;systemLanguage;to;typeof;values;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animate transform,about;accumulate;additive;attributeName;attributeType;begin;by;calcMode;class;content;datatype;dur;end;fill;from;id;keySplines;keyTimes;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;systemLanguage;to;type;typeof;values;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animation,about;begin;class;content;datatype;dur;end;externalResourcesRequired;fill;focusHighlight;focusable;height;id;initialVisibility;max;min;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;preserveAspectRatio;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;syncBehavior;syncMaster;syncTolerance;systemLanguage;transform;typeof;width;x;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;y;/
audio,about;begin;class;content;datatype;dur;end;externalResourcesRequired;fill;id;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;syncBehavior;syncMaster;syncTolerance;systemLanguage;type;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
circle,about;class;content;cx;cy;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;r;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
defs,about;class;content;datatype;id;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
desc,about;class;content;datatype;id;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;typeof;xml:base;xml:id;xml:lang;xml:space;/
discard,about;begin;class;content;datatype;id;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
ellipse,about;class;content;cx;cy;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;rx;ry;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
font,about;class;content;datatype;externalResourcesRequired;horiz-adv-x;horiz-origin-x;id;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
font-face,about;accent-height;alphabetic;ascent;bbox;cap-height;class;content;datatype;descent;externalResourcesRequired;font-family;font-stretch;font-style;font-variant;font-weight;hanging;id;ideographic;mathematical;overline-position;overline-thickness;panose-1;property;rel;resource;rev;role;slope;stemh;stemv;strikethrough-position;strikethrough-thickness;typeof;underline-position;underline-thickness;unicode-range;units-per-em;widths;x-height;xml:base;xml:id;xml:lang;xml:space;/
font-face-src,about;class;content;datatype;id;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
