red, green, blue, index, label
  0,   0,   0,   0, "BYBLOCK"
255,   0,   0,   1, "red"
255, 255,   0,   2, "yellow"
  0, 255,   0,   3, "green"
  0, 255, 255,   4, "cyan"
  0,   0, 255,   5, "blue"
255,   0, 255,   6, "magenta"
255, 255, 255,   7, "white"
128, 128, 128,   8, "dark gray"
192, 192, 192,   9, "light gray"
255,   0,   0,  10, "unknown"
255, 127, 127,  11, "unknown"
204,   0,   0,  12, "unknown"
204, 102, 102,  13, "unknown"
153,   0,   0,  14, "unknown"
153,  76,  76,  15, "unknown"
127,   0,   0,  16, "unknown"
127,  63,  63,  17, "unknown"
 76,   0,   0,  18, "unknown"
 76,  38,  38,  19, "unknown"
255,  63,   0,  20, "unknown"
255, 159, 127,  21, "unknown"
204,  51,   0,  22, "unknown"
204, 127, 102,  23, "unknown"
153,  38,   0,  24, "unknown"
153,  95,  76,  25, "unknown"
127,  31,   0,  26, "unknown"
127,  79,  63,  27, "unknown"
 76,  19,   0,  28, "unknown"
 76,  47,  38,  29, "unknown"
255, 127,   0,  30, "unknown"
255, 191, 127,  31, "unknown"
204, 102,   0,  32, "unknown"
204, 153, 102,  33, "unknown"
153,  76,   0,  34, "unknown"
153, 114,  76,  35, "unknown"
127,  63,   0,  36, "unknown"
127,  95,  63,  37, "unknown"
 76,  38,   0,  38, "unknown"
 76,  57,  38,  39, "unknown"
255, 191,   0,  40, "unknown"
255, 223, 127,  41, "unknown"
204, 153,   0,  42, "unknown"
204, 178, 102,  43, "unknown"
153, 114,   0,  44, "unknown"
153, 133,  76,  45, "unknown"
127,  95,   0,  46, "unknown"
127, 111,  63,  47, "unknown"
 76,  57,   0,  48, "unknown"
 76,  66,  38,  49, "unknown"
255, 255,   0,  50, "unknown"
255, 255, 127,  51, "unknown"
204, 204,   0,  52, "unknown"
204, 204, 102,  53, "unknown"
153, 153,   0,  54, "unknown"
153, 153,  76,  55, "unknown"
127, 127,   0,  56, "unknown"
127, 127,  63,  57, "unknown"
 76,  76,   0,  58, "unknown"
 76,  76,  38,  59, "unknown"
191, 255,   0,  60, "unknown"
223, 255, 127,  61, "unknown"
153, 204,   0,  62, "unknown"
178, 204, 102,  63, "unknown"
114, 153,   0,  64, "unknown"
133, 153,  76,  65, "unknown"
 95, 127,   0,  66, "unknown"
111, 127,  63,  67, "unknown"
 57,  76,   0,  68, "unknown"
 66,  76,  38,  69, "unknown"
127, 255,   0,  70, "unknown"
191, 255, 127,  71, "unknown"
102, 204,   0,  72, "unknown"
153, 204, 102,  73, "unknown"
 76, 153,   0,  74, "unknown"
114, 153,  76,  75, "unknown"
 63, 127,   0,  76, "unknown"
 95, 127,  63,  77, "unknown"
