"Catalog Code","Name","Color"
"543","Medium Yellow U","0xfce300"
"287","105C FIXME","0x000000"
"544","108C FIXME","0x000000"
"546","109C FIXME","0x000000"
"522","122C FIXME","0x000000"
"523","123C FIXME","0x000000"
"502","124C FIXME","0x000000"
"503","124C FIXME","0x000000"
"562","125C FIXME","0x000000"
"5205","127C FIXME","0x000000"
"521","128C FIXME","0x000000"
"501","129C FIXME","0x000000"
"512","131C FIXME","0x000000"
"532","136C FIXME","0x000000"
"525","137C FIXME","0x000000"
"533","137C FIXME","0x000000"
"514","139C FIXME","0x000000"
"564","140C FIXME","0x000000"
"560","141C FIXME","0x000000"
"711","144C FIXME","0x000000"
"844","147C FIXME","0x000000"
