"Catalog Code","Name","Color"
"000","Placeholder","0x000000"
"002","Black","0x000000"
"001","White","0xffffff"
"204","Yellow","0xffff17"
"203","Orange","0xff6600"
"219","OliveGreen","0x2f5933"
"226","Green","0x237336"
"217","Sky","0x65c2c8"
"208","Purple","0xab5a96"
"201","Pink","0xf669a0"
"225","Red","0xff0000"
"214","Brown","0xb1704e"
"207","Blue","0x0b2f84"
"003","Gold","0xe4c35d"
"205","DarkBrown","0x481a05"
"209","PaleViolet","0xac9cc7"
"210","PaleYellow","0xfcf294"
"211","PalePink","0xf999b7"
"212","Peach","0xfab381"
"213","Beige","0xc9a480"
"215","WineRed","0x970533"
"216","PaleSky","0xa0b8cc"
"218","YellowGreen","0x7fc21c"
"220","SilverGray","0xe5e5e5"
"221","Gray","0x889b9b"
"227","PaleAqua","0x98d6bd"
"228","BabyBlue","0xb2e1e3"
"229","PowderBlue","0x368ba0"
"230","BrightBlue","0x4f83ab"
"231","SlateBlue","0x386a91"
"232","NavyBlue","0x071650"
"233","SalmonPink","0xf999a2"
"234","Coral","0xf9676b"
"235","BurntOrange","0xe3311f"
"236","Cinnamon","0xe2a188"
"237","Umber","0xb59474"
"238","Blond","0xe4cf99"
"239","Sunflower","0xffcb00"
"240","OrchidPink","0xe1add4"
"241","PeonyPurple","0xc3007e"
"242","Burgundy","0x80004b"
"243","RoyalPurple","0x540571"
"244","CardinalRed","0xb10525"
"245","OpalGreen","0xcae0c0"
"246","MossGreen","0x899856"
"247","MeadowGreen","0x5c941a"
"248","DarkGreen","0x003114"
"249","Aquamarine","0x5dae94"
"250","EmeraldGreen","0x4cbf8f"
"251","PeacockGreen","0x007772"
"252","DarkGray","0x595b61"
"253","IvoryWhite","0xfffff2"
"254","Hazel","0xb15818"
"255","Toast","0xcb8a07"
"256","Salmon","0x986c80"
"257","CocoaBrown","0x98692d"
"258","Sienna","0x4d3419"
"259","Sepia","0x4c330b"
"260","DarkSepia","0x33200a"
"261","VioletBlue","0x523a97"
"262","BlueInk","0x0d217e"
"263","SolaBlue","0x1e77ac"
"264","GreenDust","0xb2dd53"
"265","Crimson","0xf33689"
"266","FloralPink","0xde649e"
"267","Wine","0x984161"
"268","OliveDrab","0x4c5612"
"269","Meadow","0x4c881f"
"270","Mustard","0xe4de79"
"271","YellowOcher","0xcb8a1a"
"272","OldGold","0xcba21c"
"273","HoneyDew","0xff9805"
"274","Tangerine","0xfcb257"
"275","CanaryYellow","0xffe505"
"202","Vermilion","0xf0331f"
"206","BrightGreen","0x1a842d"
"222","OceanBlue","0x386cae"
"223","BeigeGray","0xe3c4b4"
"224","Bamboo","0xe3ac81"
