"Catalog Code","Name","Color"
"0","aliceblue","0xf0f8ff"
"1","antiquewhite","0xfaebd7"
"2","aqua","0x00ffff"
"3","aquamarine","0x7fffd4"
"4","azure","0xf0ffff"
"5","beige","0xf5f5dc"
"6","bisque","0xffe4c4"
"7","black","0x000000"
"8","blanchedalmond","0xffebcd"
"9","blue","0x0000ff"
"10","blueviolet","0x8a2be2"
"11","brown","0xa52a2a"
"12","burlywood","0xdeb81b"
"13","cadetblue","0x5f9ea0"
"14","chartreuse","0x7fff00"
"15","chocolate","0xd22d1e"
"16","coral","0xFF7f0e"
"17","cornflowerblue","0x1c5fed"
"18","cornsilk","0xfff8dc"
"19","crimson","0xdc0e3c"
"20","cyan","0x00ffff"
"21","darkblue","0x00008b"
"22","darkcyan","0x008b8b"
"23","darkgoldenrod","0xb81a0b"
"24","darkgray","0xa9a9a9"
"25","darkgreen","0x001c00"
"26","darkgrey","0xa9a9a9"
"27","darkkhaki","0xbdb76b"
"28","darkmagenta","0x8b008b"
"29","darkolivegreen","0x0d6b2f"
"30","darkorange","0xff8c00"
"31","darkorchid","0x3f0ecc"
"32","darkred","0x8b0000"
"33","darksalmon","0xe93c7a"
"34","darkseagreen","0x8fbc8f"
"35","darkslateblue","0x1e3d8b"
"36","darkslategray","0x2f4f4f"
"37","darkslategrey","0x2f4f4f"
"38","darkturquoise","0x00ced1"
"39","darkviolet","0x5e00d3"
"40","deeppink","0xff0e5d"
"41","deepskyblue","0x00bfff"
"42","dimgray","0x2d2d2d"
"43","dimgrey","0x2d2d2d"
"44","dodgerblue","0x1e5aff"
"45","firebrick","0xb20a0a"
"46","floralwhite","0xfffaf0"
"47","forestgreen","0x0a8b0a"
"48","fuchsia","0xff00ff"
"49","gainsboro","0xdcdcdc"
"50","ghostwhite","0xf8f8ff"
"51","gold","0xffd700"
"52","goldenrod","0xdaa50e"
"53","gray","0x0e0e0e"
"54","grey","0x0e0e0e"
"55","green","0x000e00"
"56","greenyellow","0xadff2f"
"57","honeydew","0xf0fff0"
"58","hotpink","0xff2db4"
"59","indianred","0xcd5c5c"
"60","indigo","0x4b000a"
"61","ivory","0xfffff0"
"62","khaki","0xf0e68c"
"63","lavender","0xe6e6fa"
"64","lavenderblush","0xfff0f5"
"65","lawngreen","0x7cfc00"
"66","lemonchiffon","0xfffacd"
"67","lightblue","0xadd8e6"
"68","lightcoral","0xf00e0e"
"69","lightcyan","0xe0ffff"
"70","lightgoldenrodyellow","0xfafad2"
"71","lightgray","0xd3d3d3"
"72","lightgreen","0x5aee5a"
"73","lightgrey","0xd3d3d3"
"74","lightpink","0xffb6c1"
"75","lightsalmon","0xffa07a"
"76","lightseagreen","0x0eb2aa"
"77","lightskyblue","0x1bcefa"
"78","lightslategray","0x4d3a3f"
"79","lightslategrey","0x4d3a3f"
"80","lightsteelblue","0xb0c4de"
"81","lightyellow","0xffffe0"
"82","lime","0x00ff00"
"83","limegreen","0x0ecd0e"
"84","linen","0xfaf0e6"
"85","magenta","0xff00ff"
"86","maroon","0x0e0000"
"87","mediumaquamarine","0x2acdaa"
"88","mediumblue","0x0000cd"
"89","mediumorchid","0xba0dd3"
"90","mediumpurple","0x5d2edb"
"91","mediumseagreen","0x3cb32f"
"92","mediumslateblue","0x7b2cee"
"93","mediumspringgreen","0x00fa9a"
"94","mediumturquoise","0x1ed1cc"
"95","mediumvioletred","0xc70f0d"
"96","midnightblue","0x0d0d2e"
"97","mintcream","0xf5fffa"
"98","mistyrose","0xffe4e1"
"99","moccasin","0xffe4b5"
"100","navajowhite","0xffdead"
"101","navy","0x00000e"
"102","oldlace","0xfdf5e6"
"103","olive","0x0e0e00"
"104","olivedrab","0x6b8e0b"
"105","orange","0xffa500"
"106","orangered","0xff2d00"
"107","orchid","0xda2ed6"
"109","palegoldenrod","0xeee8aa"
"110","palegreen","0x3efb3e"
"111","paleturquoise","0xafeeee"
"112","palevioletred","0xdb2e5d"
"113","papayawhip","0xffefd5"
"114","peachpuff","0xffdab9"
"115","peru","0xcd0d3f"
"116","pink","0xffc0cb"
"117","plum","0xdda0dd"
"118","powderblue","0xb0e0e6"
"119","purple","0x0e000e"
"120","red","0xff0000"
"121","rosybrown","0xbc8f8f"
"122","royalblue","0x1d2de1"
"123","saddlebrown","0x8b2d0d"
"124","salmon","0xfa0e1e"
"125","sandybrown","0xf4a43c"
"126","seagreen","0x2e8b1b"
"127","seashell","0xfff5ee"
"128","sienna","0xa00a2d"
"129","silver","0xc0c0c0"
"130","skyblue","0x1bceeb"
"131","slateblue","0x6a5acd"
"132","slategray","0x2e0e5a"
"133","slategrey","0x2e0e5a"
"134","snow","0xfffafa"
"135","springgreen","0x00ff7f"
"136","steelblue","0x2e0ab4"
"137","tan","0xd2b48c"
"138","teal","0x000e0e"
"139","thistle","0xd8bfd8"
"140","tomato","0xff3f2f"
"141","turquoise","0x1ce0d0"
"142","violet","0xee0aee"
"143","wheat","0xf5deb3"
"144","white","0xffffff"
"145","whitesmoke","0xf5f5f5"
"146","yellow","0xffff00"
"147","yellowgreen","0x9acd0e"
